Ref_Date,GEO,COMP,Vector,Coordinate,Value
1969,Canada,"Horses on farm (x 1,000)",v62200,1.1,359.00
1970,Canada,"Horses on farm (x 1,000)",v62200,1.1,358.00
1971,Canada,"Horses on farm (x 1,000)",v62200,1.1,354.00
1972,Canada,"Horses on farm (x 1,000)",v62200,1.1,350.00
1973,Canada,"Horses on farm (x 1,000)",v62200,1.1,342.00
1914,Canada,Farm value per head (dollars),v62204,1.2,127.00
1915,Canada,Farm value per head (dollars),v62204,1.2,126.00
1916,Canada,Farm value per head (dollars),v62204,1.2,129.00
1917,Canada,Farm value per head (dollars),v62204,1.2,126.00
1918,Canada,Farm value per head (dollars),v62204,1.2,127.00
1919,Canada,Farm value per head (dollars),v62204,1.2,118.00
1920,Canada,Farm value per head (dollars),v62204,1.2,106.00
1921,Canada,Farm value per head (dollars),v62204,1.2,120.00
1922,Canada,Farm value per head (dollars),v62204,1.2,73.00
1923,Canada,Farm value per head (dollars),v62204,1.2,64.00
1924,Canada,Farm value per head (dollars),v62204,1.2,64.00
1925,Canada,Farm value per head (dollars),v62204,1.2,69.00
1926,Canada,Farm value per head (dollars),v62204,1.2,72.00
1927,Canada,Farm value per head (dollars),v62204,1.2,76.00
1928,Canada,Farm value per head (dollars),v62204,1.2,75.00
1929,Canada,Farm value per head (dollars),v62204,1.2,69.00
1930,Canada,Farm value per head (dollars),v62204,1.2,60.00
1931,Canada,Farm value per head (dollars),v62204,1.2,66.00
1932,Canada,Farm value per head (dollars),v62204,1.2,46.00
1933,Canada,Farm value per head (dollars),v62204,1.2,52.00
1934,Canada,Farm value per head (dollars),v62204,1.2,57.00
1935,Canada,Farm value per head (dollars),v62204,1.2,65.00
1936,Canada,Farm value per head (dollars),v62204,1.2,72.00
1937,Canada,Farm value per head (dollars),v62204,1.2,72.00
1938,Canada,Farm value per head (dollars),v62204,1.2,71.00
1939,Canada,Farm value per head (dollars),v62204,1.2,67.00
1940,Canada,Farm value per head (dollars),v62204,1.2,63.00
1941,Canada,Farm value per head (dollars),v62204,1.2,66.00
1942,Canada,Farm value per head (dollars),v62204,1.2,69.00
1943,Canada,Farm value per head (dollars),v62204,1.2,81.00
1944,Canada,Farm value per head (dollars),v62204,1.2,76.00
1945,Canada,Farm value per head (dollars),v62204,1.2,70.00
1946,Canada,Farm value per head (dollars),v62204,1.2,74.00
1947,Canada,Farm value per head (dollars),v62204,1.2,77.00
1948,Canada,Farm value per head (dollars),v62204,1.2,77.00
1949,Canada,Farm value per head (dollars),v62204,1.2,75.00
1950,Canada,Farm value per head (dollars),v62204,1.2,69.00
1951,Canada,Farm value per head (dollars),v62204,1.2,72.00
1952,Canada,Farm value per head (dollars),v62204,1.2,80.00
1953,Canada,Farm value per head (dollars),v62204,1.2,81.00
1954,Canada,Farm value per head (dollars),v62204,1.2,79.00
1955,Canada,Farm value per head (dollars),v62204,1.2,91.00
1956,Canada,Farm value per head (dollars),v62204,1.2,95.00
1957,Canada,Farm value per head (dollars),v62204,1.2,102.00
1958,Canada,Farm value per head (dollars),v62204,1.2,111.00
1959,Canada,Farm value per head (dollars),v62204,1.2,122.00
1960,Canada,Farm value per head (dollars),v62204,1.2,131.00
1961,Canada,Farm value per head (dollars),v62204,1.2,133.00
1962,Canada,Farm value per head (dollars),v62204,1.2,139.00
1963,Canada,Farm value per head (dollars),v62204,1.2,141.00
1964,Canada,Farm value per head (dollars),v62204,1.2,145.00
1965,Canada,Farm value per head (dollars),v62204,1.2,146.00
1966,Canada,Farm value per head (dollars),v62204,1.2,148.00
1967,Canada,Farm value per head (dollars),v62204,1.2,160.00
1968,Canada,Farm value per head (dollars),v62204,1.2,162.00
1969,Canada,Farm value per head (dollars),v62204,1.2,167.00
1970,Canada,Farm value per head (dollars),v62204,1.2,166.00
1971,Canada,Farm value per head (dollars),v62204,1.2,160.00
1972,Canada,Farm value per head (dollars),v62204,1.2,173.00
1973,Canada,Farm value per head (dollars),v62204,1.2,218.00
1914,Canada,"Total value of horses (dollars x 1,000)",v62205,1.3,379965.00
1915,Canada,"Total value of horses (dollars x 1,000)",v62205,1.3,392393.00
1916,Canada,"Total value of horses (dollars x 1,000)",v62205,1.3,408651.00
1917,Canada,"Total value of horses (dollars x 1,000)",v62205,1.3,404941.00
1918,Canada,"Total value of horses (dollars x 1,000)",v62205,1.3,425124.00
1919,Canada,"Total value of horses (dollars x 1,000)",v62205,1.3,407189.00
1920,Canada,"Total value of horses (dollars x 1,000)",v62205,1.3,359248.00
1921,Canada,"Total value of horses (dollars x 1,000)",v62205,1.3,414808.00
1922,Canada,"Total value of horses (dollars x 1,000)",v62205,1.3,246631.00
1923,Canada,"Total value of horses (dollars x 1,000)",v62205,1.3,212210.00
1924,Canada,"Total value of horses (dollars x 1,000)",v62205,1.3,217590.00
1925,Canada,"Total value of horses (dollars x 1,000)",v62205,1.3,232529.00
1926,Canada,"Total value of horses (dollars x 1,000)",v62205,1.3,241288.00
1927,Canada,"Total value of horses (dollars x 1,000)",v62205,1.3,250593.00
1928,Canada,"Total value of horses (dollars x 1,000)",v62205,1.3,245792.00
1929,Canada,"Total value of horses (dollars x 1,000)",v62205,1.3,226047.00
1930,Canada,"Total value of horses (dollars x 1,000)",v62205,1.3,193074.00
1931,Canada,"Total value of horses (dollars x 1,000)",v62205,1.3,205087.00
1932,Canada,"Total value of horses (dollars x 1,000)",v62205,1.3,141512.00
1933,Canada,"Total value of horses (dollars x 1,000)",v62205,1.3,153687.00
1934,Canada,"Total value of horses (dollars x 1,000)",v62205,1.3,167370.00
1935,Canada,"Total value of horses (dollars x 1,000)",v62205,1.3,188181.00
1936,Canada,"Total value of horses (dollars x 1,000)",v62205,1.3,206990.00
1937,Canada,"Total value of horses (dollars x 1,000)",v62205,1.3,204310.00
1938,Canada,"Total value of horses (dollars x 1,000)",v62205,1.3,195631.00
1939,Canada,"Total value of horses (dollars x 1,000)",v62205,1.3,185783.00
1940,Canada,"Total value of horses (dollars x 1,000)",v62205,1.3,175697.00
1941,Canada,"Total value of horses (dollars x 1,000)",v62205,1.3,184441.00
1942,Canada,"Total value of horses (dollars x 1,000)",v62205,1.3,189224.00
1943,Canada,"Total value of horses (dollars x 1,000)",v62205,1.3,215204.00
1944,Canada,"Total value of horses (dollars x 1,000)",v62205,1.3,194739.00
1945,Canada,"Total value of horses (dollars x 1,000)",v62205,1.3,165747.00
1946,Canada,"Total value of horses (dollars x 1,000)",v62205,1.3,157975.00
1947,Canada,"Total value of horses (dollars x 1,000)",v62205,1.3,148757.00
1948,Canada,"Total value of horses (dollars x 1,000)",v62205,1.3,137168.00
1949,Canada,"Total value of horses (dollars x 1,000)",v62205,1.3,122644.00
1950,Canada,"Total value of horses (dollars x 1,000)",v62205,1.3,102932.00
1951,Canada,"Total value of horses (dollars x 1,000)",v62205,1.3,94130.00
1952,Canada,"Total value of horses (dollars x 1,000)",v62205,1.3,94820.00
1953,Canada,"Total value of horses (dollars x 1,000)",v62205,1.3,85126.00
1954,Canada,"Total value of horses (dollars x 1,000)",v62205,1.3,72929.00
1955,Canada,"Total value of horses (dollars x 1,000)",v62205,1.3,75867.00
1956,Canada,"Total value of horses (dollars x 1,000)",v62205,1.3,74384.00
1957,Canada,"Total value of horses (dollars x 1,000)",v62205,1.3,73381.00
1958,Canada,"Total value of horses (dollars x 1,000)",v62205,1.3,73084.00
1959,Canada,"Total value of horses (dollars x 1,000)",v62205,1.3,72700.00
1960,Canada,"Total value of horses (dollars x 1,000)",v62205,1.3,72324.00
1961,Canada,"Total value of horses (dollars x 1,000)",v62205,1.3,68051.00
1962,Canada,"Total value of horses (dollars x 1,000)",v62205,1.3,66294.00
1963,Canada,"Total value of horses (dollars x 1,000)",v62205,1.3,63621.00
1964,Canada,"Total value of horses (dollars x 1,000)",v62205,1.3,62373.00
1965,Canada,"Total value of horses (dollars x 1,000)",v62205,1.3,58640.00
1966,Canada,"Total value of horses (dollars x 1,000)",v62205,1.3,57351.00
1967,Canada,"Total value of horses (dollars x 1,000)",v62205,1.3,59137.00
1968,Canada,"Total value of horses (dollars x 1,000)",v62205,1.3,59244.00
1969,Canada,"Total value of horses (dollars x 1,000)",v62205,1.3,60082.00
1970,Canada,"Total value of horses (dollars x 1,000)",v62205,1.3,59221.00
1971,Canada,"Total value of horses (dollars x 1,000)",v62205,1.3,56608.00
1972,Canada,"Total value of horses (dollars x 1,000)",v62205,1.3,60687.00
1973,Canada,"Total value of horses (dollars x 1,000)",v62205,1.3,74706.00
1914,Prince Edward Island,Farm value per head (dollars),v62206,2.2,111.00
1915,Prince Edward Island,Farm value per head (dollars),v62206,2.2,106.00
1916,Prince Edward Island,Farm value per head (dollars),v62206,2.2,87.00
1917,Prince Edward Island,Farm value per head (dollars),v62206,2.2,88.00
1918,Prince Edward Island,Farm value per head (dollars),v62206,2.2,103.00
1919,Prince Edward Island,Farm value per head (dollars),v62206,2.2,114.00
1920,Prince Edward Island,Farm value per head (dollars),v62206,2.2,109.00
1921,Prince Edward Island,Farm value per head (dollars),v62206,2.2,127.00
1922,Prince Edward Island,Farm value per head (dollars),v62206,2.2,92.00
1923,Prince Edward Island,Farm value per head (dollars),v62206,2.2,80.00
1924,Prince Edward Island,Farm value per head (dollars),v62206,2.2,85.00
1925,Prince Edward Island,Farm value per head (dollars),v62206,2.2,84.00
1926,Prince Edward Island,Farm value per head (dollars),v62206,2.2,91.00
1927,Prince Edward Island,Farm value per head (dollars),v62206,2.2,91.00
1928,Prince Edward Island,Farm value per head (dollars),v62206,2.2,101.00
1929,Prince Edward Island,Farm value per head (dollars),v62206,2.2,96.00
1930,Prince Edward Island,Farm value per head (dollars),v62206,2.2,92.00
1931,Prince Edward Island,Farm value per head (dollars),v62206,2.2,108.00
1932,Prince Edward Island,Farm value per head (dollars),v62206,2.2,56.00
1933,Prince Edward Island,Farm value per head (dollars),v62206,2.2,64.00
1934,Prince Edward Island,Farm value per head (dollars),v62206,2.2,76.00
1935,Prince Edward Island,Farm value per head (dollars),v62206,2.2,82.00
1936,Prince Edward Island,Farm value per head (dollars),v62206,2.2,90.00
1937,Prince Edward Island,Farm value per head (dollars),v62206,2.2,91.00
1938,Prince Edward Island,Farm value per head (dollars),v62206,2.2,94.00
1939,Prince Edward Island,Farm value per head (dollars),v62206,2.2,96.00
1940,Prince Edward Island,Farm value per head (dollars),v62206,2.2,87.00
1941,Prince Edward Island,Farm value per head (dollars),v62206,2.2,99.00
1942,Prince Edward Island,Farm value per head (dollars),v62206,2.2,105.00
1943,Prince Edward Island,Farm value per head (dollars),v62206,2.2,111.00
1944,Prince Edward Island,Farm value per head (dollars),v62206,2.2,113.00
1945,Prince Edward Island,Farm value per head (dollars),v62206,2.2,115.00
1946,Prince Edward Island,Farm value per head (dollars),v62206,2.2,114.00
1947,Prince Edward Island,Farm value per head (dollars),v62206,2.2,109.00
1948,Prince Edward Island,Farm value per head (dollars),v62206,2.2,104.00
1949,Prince Edward Island,Farm value per head (dollars),v62206,2.2,105.00
1950,Prince Edward Island,Farm value per head (dollars),v62206,2.2,96.00
1951,Prince Edward Island,Farm value per head (dollars),v62206,2.2,89.00
1952,Prince Edward Island,Farm value per head (dollars),v62206,2.2,102.00
1953,Prince Edward Island,Farm value per head (dollars),v62206,2.2,89.00
1954,Prince Edward Island,Farm value per head (dollars),v62206,2.2,80.00
1955,Prince Edward Island,Farm value per head (dollars),v62206,2.2,85.00
1956,Prince Edward Island,Farm value per head (dollars),v62206,2.2,91.00
1957,Prince Edward Island,Farm value per head (dollars),v62206,2.2,92.00
1958,Prince Edward Island,Farm value per head (dollars),v62206,2.2,95.00
1959,Prince Edward Island,Farm value per head (dollars),v62206,2.2,109.00
1960,Prince Edward Island,Farm value per head (dollars),v62206,2.2,124.00
1961,Prince Edward Island,Farm value per head (dollars),v62206,2.2,120.00
1962,Prince Edward Island,Farm value per head (dollars),v62206,2.2,122.00
1963,Prince Edward Island,Farm value per head (dollars),v62206,2.2,127.00
1964,Prince Edward Island,Farm value per head (dollars),v62206,2.2,137.00
1965,Prince Edward Island,Farm value per head (dollars),v62206,2.2,145.00
1966,Prince Edward Island,Farm value per head (dollars),v62206,2.2,140.00
1967,Prince Edward Island,Farm value per head (dollars),v62206,2.2,143.00
1968,Prince Edward Island,Farm value per head (dollars),v62206,2.2,146.00
1969,Prince Edward Island,Farm value per head (dollars),v62206,2.2,154.00
1970,Prince Edward Island,Farm value per head (dollars),v62206,2.2,157.00
1971,Prince Edward Island,Farm value per head (dollars),v62206,2.2,151.00
1972,Prince Edward Island,Farm value per head (dollars),v62206,2.2,173.00
1973,Prince Edward Island,Farm value per head (dollars),v62206,2.2,212.00
1914,Nova Scotia,Farm value per head (dollars),v62207,3.2,121.00
1915,Nova Scotia,Farm value per head (dollars),v62207,3.2,120.00
1916,Nova Scotia,Farm value per head (dollars),v62207,3.2,108.00
1917,Nova Scotia,Farm value per head (dollars),v62207,3.2,111.00
1918,Nova Scotia,Farm value per head (dollars),v62207,3.2,117.00
1919,Nova Scotia,Farm value per head (dollars),v62207,3.2,127.00
1920,Nova Scotia,Farm value per head (dollars),v62207,3.2,119.00
1921,Nova Scotia,Farm value per head (dollars),v62207,3.2,128.00
1922,Nova Scotia,Farm value per head (dollars),v62207,3.2,95.00
1923,Nova Scotia,Farm value per head (dollars),v62207,3.2,96.00
1924,Nova Scotia,Farm value per head (dollars),v62207,3.2,93.00
1925,Nova Scotia,Farm value per head (dollars),v62207,3.2,94.00
1926,Nova Scotia,Farm value per head (dollars),v62207,3.2,93.00
1927,Nova Scotia,Farm value per head (dollars),v62207,3.2,107.00
1928,Nova Scotia,Farm value per head (dollars),v62207,3.2,111.00
1929,Nova Scotia,Farm value per head (dollars),v62207,3.2,102.00
1930,Nova Scotia,Farm value per head (dollars),v62207,3.2,98.00
1931,Nova Scotia,Farm value per head (dollars),v62207,3.2,92.00
1932,Nova Scotia,Farm value per head (dollars),v62207,3.2,80.00
1933,Nova Scotia,Farm value per head (dollars),v62207,3.2,80.00
1934,Nova Scotia,Farm value per head (dollars),v62207,3.2,83.00
1935,Nova Scotia,Farm value per head (dollars),v62207,3.2,88.00
1936,Nova Scotia,Farm value per head (dollars),v62207,3.2,94.00
1937,Nova Scotia,Farm value per head (dollars),v62207,3.2,102.00
1938,Nova Scotia,Farm value per head (dollars),v62207,3.2,100.00
1939,Nova Scotia,Farm value per head (dollars),v62207,3.2,102.00
1940,Nova Scotia,Farm value per head (dollars),v62207,3.2,96.00
1941,Nova Scotia,Farm value per head (dollars),v62207,3.2,102.00
1942,Nova Scotia,Farm value per head (dollars),v62207,3.2,115.00
1943,Nova Scotia,Farm value per head (dollars),v62207,3.2,139.00
1944,Nova Scotia,Farm value per head (dollars),v62207,3.2,140.00
1945,Nova Scotia,Farm value per head (dollars),v62207,3.2,144.00
1946,Nova Scotia,Farm value per head (dollars),v62207,3.2,153.00
1947,Nova Scotia,Farm value per head (dollars),v62207,3.2,153.00
1948,Nova Scotia,Farm value per head (dollars),v62207,3.2,139.00
1949,Nova Scotia,Farm value per head (dollars),v62207,3.2,133.00
1950,Nova Scotia,Farm value per head (dollars),v62207,3.2,142.00
1951,Nova Scotia,Farm value per head (dollars),v62207,3.2,116.00
1952,Nova Scotia,Farm value per head (dollars),v62207,3.2,131.00
1953,Nova Scotia,Farm value per head (dollars),v62207,3.2,124.00
1954,Nova Scotia,Farm value per head (dollars),v62207,3.2,118.00
1955,Nova Scotia,Farm value per head (dollars),v62207,3.2,119.00
1956,Nova Scotia,Farm value per head (dollars),v62207,3.2,119.00
1957,Nova Scotia,Farm value per head (dollars),v62207,3.2,119.00
1958,Nova Scotia,Farm value per head (dollars),v62207,3.2,118.00
1959,Nova Scotia,Farm value per head (dollars),v62207,3.2,135.00
1960,Nova Scotia,Farm value per head (dollars),v62207,3.2,142.00
1961,Nova Scotia,Farm value per head (dollars),v62207,3.2,139.00
1962,Nova Scotia,Farm value per head (dollars),v62207,3.2,151.00
1963,Nova Scotia,Farm value per head (dollars),v62207,3.2,160.00
1964,Nova Scotia,Farm value per head (dollars),v62207,3.2,180.00
1965,Nova Scotia,Farm value per head (dollars),v62207,3.2,187.00
1966,Nova Scotia,Farm value per head (dollars),v62207,3.2,192.00
1967,Nova Scotia,Farm value per head (dollars),v62207,3.2,189.00
1968,Nova Scotia,Farm value per head (dollars),v62207,3.2,195.00
1969,Nova Scotia,Farm value per head (dollars),v62207,3.2,211.00
1970,Nova Scotia,Farm value per head (dollars),v62207,3.2,220.00
1971,Nova Scotia,Farm value per head (dollars),v62207,3.2,216.00
1972,Nova Scotia,Farm value per head (dollars),v62207,3.2,228.00
1973,Nova Scotia,Farm value per head (dollars),v62207,3.2,262.00
1914,New Brunswick,Farm value per head (dollars),v62208,4.2,138.00
1915,New Brunswick,Farm value per head (dollars),v62208,4.2,137.00
1916,New Brunswick,Farm value per head (dollars),v62208,4.2,126.00
1917,New Brunswick,Farm value per head (dollars),v62208,4.2,126.00
1918,New Brunswick,Farm value per head (dollars),v62208,4.2,141.00
1919,New Brunswick,Farm value per head (dollars),v62208,4.2,138.00
1920,New Brunswick,Farm value per head (dollars),v62208,4.2,139.00
1921,New Brunswick,Farm value per head (dollars),v62208,4.2,144.00
1922,New Brunswick,Farm value per head (dollars),v62208,4.2,110.00
1923,New Brunswick,Farm value per head (dollars),v62208,4.2,99.00
1924,New Brunswick,Farm value per head (dollars),v62208,4.2,106.00
1925,New Brunswick,Farm value per head (dollars),v62208,4.2,101.00
1926,New Brunswick,Farm value per head (dollars),v62208,4.2,109.00
1927,New Brunswick,Farm value per head (dollars),v62208,4.2,116.00
1928,New Brunswick,Farm value per head (dollars),v62208,4.2,120.00
1929,New Brunswick,Farm value per head (dollars),v62208,4.2,114.00
1930,New Brunswick,Farm value per head (dollars),v62208,4.2,101.00
1931,New Brunswick,Farm value per head (dollars),v62208,4.2,105.00
1932,New Brunswick,Farm value per head (dollars),v62208,4.2,80.00
1933,New Brunswick,Farm value per head (dollars),v62208,4.2,88.00
1934,New Brunswick,Farm value per head (dollars),v62208,4.2,87.00
1935,New Brunswick,Farm value per head (dollars),v62208,4.2,105.00
1936,New Brunswick,Farm value per head (dollars),v62208,4.2,111.00
1937,New Brunswick,Farm value per head (dollars),v62208,4.2,114.00
1938,New Brunswick,Farm value per head (dollars),v62208,4.2,114.00
1939,New Brunswick,Farm value per head (dollars),v62208,4.2,118.00
1940,New Brunswick,Farm value per head (dollars),v62208,4.2,110.00
1941,New Brunswick,Farm value per head (dollars),v62208,4.2,111.00
1942,New Brunswick,Farm value per head (dollars),v62208,4.2,113.00
1943,New Brunswick,Farm value per head (dollars),v62208,4.2,144.00
1944,New Brunswick,Farm value per head (dollars),v62208,4.2,143.00
1945,New Brunswick,Farm value per head (dollars),v62208,4.2,142.00
1946,New Brunswick,Farm value per head (dollars),v62208,4.2,146.00
1947,New Brunswick,Farm value per head (dollars),v62208,4.2,128.00
1948,New Brunswick,Farm value per head (dollars),v62208,4.2,127.00
1949,New Brunswick,Farm value per head (dollars),v62208,4.2,120.00
1950,New Brunswick,Farm value per head (dollars),v62208,4.2,108.00
1951,New Brunswick,Farm value per head (dollars),v62208,4.2,117.00
1952,New Brunswick,Farm value per head (dollars),v62208,4.2,129.00
1953,New Brunswick,Farm value per head (dollars),v62208,4.2,120.00
1954,New Brunswick,Farm value per head (dollars),v62208,4.2,108.00
1955,New Brunswick,Farm value per head (dollars),v62208,4.2,116.00
1956,New Brunswick,Farm value per head (dollars),v62208,4.2,119.00
1957,New Brunswick,Farm value per head (dollars),v62208,4.2,121.00
1958,New Brunswick,Farm value per head (dollars),v62208,4.2,134.00
1959,New Brunswick,Farm value per head (dollars),v62208,4.2,151.00
1960,New Brunswick,Farm value per head (dollars),v62208,4.2,163.00
1961,New Brunswick,Farm value per head (dollars),v62208,4.2,167.00
1962,New Brunswick,Farm value per head (dollars),v62208,4.2,174.00
1963,New Brunswick,Farm value per head (dollars),v62208,4.2,182.00
1964,New Brunswick,Farm value per head (dollars),v62208,4.2,198.00
1965,New Brunswick,Farm value per head (dollars),v62208,4.2,206.00
1966,New Brunswick,Farm value per head (dollars),v62208,4.2,212.00
1967,New Brunswick,Farm value per head (dollars),v62208,4.2,211.00
1968,New Brunswick,Farm value per head (dollars),v62208,4.2,225.00
1969,New Brunswick,Farm value per head (dollars),v62208,4.2,234.00
1970,New Brunswick,Farm value per head (dollars),v62208,4.2,235.00
1971,New Brunswick,Farm value per head (dollars),v62208,4.2,234.00
1972,New Brunswick,Farm value per head (dollars),v62208,4.2,250.00
1973,New Brunswick,Farm value per head (dollars),v62208,4.2,292.00
1914,Quebec,Farm value per head (dollars),v62209,5.2,135.00
1915,Quebec,Farm value per head (dollars),v62209,5.2,112.00
1916,Quebec,Farm value per head (dollars),v62209,5.2,115.00
1917,Quebec,Farm value per head (dollars),v62209,5.2,132.00
1918,Quebec,Farm value per head (dollars),v62209,5.2,131.00
1919,Quebec,Farm value per head (dollars),v62209,5.2,134.00
1920,Quebec,Farm value per head (dollars),v62209,5.2,128.00
1921,Quebec,Farm value per head (dollars),v62209,5.2,142.00
1922,Quebec,Farm value per head (dollars),v62209,5.2,100.00
1923,Quebec,Farm value per head (dollars),v62209,5.2,97.00
1924,Quebec,Farm value per head (dollars),v62209,5.2,98.00
1925,Quebec,Farm value per head (dollars),v62209,5.2,98.00
1926,Quebec,Farm value per head (dollars),v62209,5.2,101.00
1927,Quebec,Farm value per head (dollars),v62209,5.2,106.00
1928,Quebec,Farm value per head (dollars),v62209,5.2,108.00
1929,Quebec,Farm value per head (dollars),v62209,5.2,106.00
1930,Quebec,Farm value per head (dollars),v62209,5.2,95.00
1931,Quebec,Farm value per head (dollars),v62209,5.2,104.00
1932,Quebec,Farm value per head (dollars),v62209,5.2,90.00
1933,Quebec,Farm value per head (dollars),v62209,5.2,96.00
1934,Quebec,Farm value per head (dollars),v62209,5.2,107.00
1935,Quebec,Farm value per head (dollars),v62209,5.2,120.00
1936,Quebec,Farm value per head (dollars),v62209,5.2,112.00
1937,Quebec,Farm value per head (dollars),v62209,5.2,117.00
1938,Quebec,Farm value per head (dollars),v62209,5.2,114.00
1939,Quebec,Farm value per head (dollars),v62209,5.2,109.00
1940,Quebec,Farm value per head (dollars),v62209,5.2,117.00
1941,Quebec,Farm value per head (dollars),v62209,5.2,112.00
1942,Quebec,Farm value per head (dollars),v62209,5.2,114.00
1943,Quebec,Farm value per head (dollars),v62209,5.2,138.00
1944,Quebec,Farm value per head (dollars),v62209,5.2,137.00
1945,Quebec,Farm value per head (dollars),v62209,5.2,134.00
1946,Quebec,Farm value per head (dollars),v62209,5.2,134.00
1947,Quebec,Farm value per head (dollars),v62209,5.2,131.00
1948,Quebec,Farm value per head (dollars),v62209,5.2,125.00
1949,Quebec,Farm value per head (dollars),v62209,5.2,120.00
1950,Quebec,Farm value per head (dollars),v62209,5.2,117.00
1951,Quebec,Farm value per head (dollars),v62209,5.2,125.00
1952,Quebec,Farm value per head (dollars),v62209,5.2,142.00
1953,Quebec,Farm value per head (dollars),v62209,5.2,141.00
1954,Quebec,Farm value per head (dollars),v62209,5.2,139.00
1955,Quebec,Farm value per head (dollars),v62209,5.2,145.00
1956,Quebec,Farm value per head (dollars),v62209,5.2,148.00
1957,Quebec,Farm value per head (dollars),v62209,5.2,152.00
1958,Quebec,Farm value per head (dollars),v62209,5.2,162.00
1959,Quebec,Farm value per head (dollars),v62209,5.2,178.00
1960,Quebec,Farm value per head (dollars),v62209,5.2,199.00
1961,Quebec,Farm value per head (dollars),v62209,5.2,195.00
1962,Quebec,Farm value per head (dollars),v62209,5.2,209.00
1963,Quebec,Farm value per head (dollars),v62209,5.2,207.00
1964,Quebec,Farm value per head (dollars),v62209,5.2,206.00
1965,Quebec,Farm value per head (dollars),v62209,5.2,210.00
1966,Quebec,Farm value per head (dollars),v62209,5.2,208.00
