Ref_Date,GEO,DATE,Vector,Coordinate,Value
1952,Prince Edward Island,"At June 1 (x 1,000)",v62213,2.1,19.7
1953,Prince Edward Island,"At June 1 (x 1,000)",v62213,2.1,18.9
1954,Prince Edward Island,"At June 1 (x 1,000)",v62213,2.1,17.5
1955,Prince Edward Island,"At June 1 (x 1,000)",v62213,2.1,15.4
1956,Prince Edward Island,"At June 1 (x 1,000)",v62213,2.1,14.6
1957,Prince Edward Island,"At June 1 (x 1,000)",v62213,2.1,13.5
1958,Prince Edward Island,"At June 1 (x 1,000)",v62213,2.1,12.1
1959,Prince Edward Island,"At June 1 (x 1,000)",v62213,2.1,10.2
1960,Prince Edward Island,"At June 1 (x 1,000)",v62213,2.1,8.6
1961,Prince Edward Island,"At June 1 (x 1,000)",v62213,2.1,7.9
1962,Prince Edward Island,"At June 1 (x 1,000)",v62213,2.1,7.0
1963,Prince Edward Island,"At June 1 (x 1,000)",v62213,2.1,6.4
1964,Prince Edward Island,"At June 1 (x 1,000)",v62213,2.1,5.8
1965,Prince Edward Island,"At June 1 (x 1,000)",v62213,2.1,5.4
1966,Prince Edward Island,"At June 1 (x 1,000)",v62213,2.1,5.0
1967,Prince Edward Island,"At June 1 (x 1,000)",v62213,2.1,4.4
1968,Prince Edward Island,"At June 1 (x 1,000)",v62213,2.1,3.9
1969,Prince Edward Island,"At June 1 (x 1,000)",v62213,2.1,3.6
1970,Prince Edward Island,"At June 1 (x 1,000)",v62213,2.1,3.2
1971,Prince Edward Island,"At June 1 (x 1,000)",v62213,2.1,2.9
1972,Prince Edward Island,"At June 1 (x 1,000)",v62213,2.1,2.8
1973,Prince Edward Island,"At June 1 (x 1,000)",v62213,2.1,2.2
1941,Prince Edward Island,"At December 1 (x 1,000)",v62223,2.2,27.9
1942,Prince Edward Island,"At December 1 (x 1,000)",v62223,2.2,28.2
1943,Prince Edward Island,"At December 1 (x 1,000)",v62223,2.2,28.5
1944,Prince Edward Island,"At December 1 (x 1,000)",v62223,2.2,27.9
1945,Prince Edward Island,"At December 1 (x 1,000)",v62223,2.2,27.1
1946,Prince Edward Island,"At December 1 (x 1,000)",v62223,2.2,25.7
1947,Prince Edward Island,"At December 1 (x 1,000)",v62223,2.2,23.8
1948,Prince Edward Island,"At December 1 (x 1,000)",v62223,2.2,22.6
1949,Prince Edward Island,"At December 1 (x 1,000)",v62223,2.2,22.3
1950,Prince Edward Island,"At December 1 (x 1,000)",v62223,2.2,22.1
1951,Prince Edward Island,"At December 1 (x 1,000)",v62223,2.2,20.5
1952,Prince Edward Island,"At December 1 (x 1,000)",v62223,2.2,19.2
1953,Prince Edward Island,"At December 1 (x 1,000)",v62223,2.2,18.5
1954,Prince Edward Island,"At December 1 (x 1,000)",v62223,2.2,17.2
1955,Prince Edward Island,"At December 1 (x 1,000)",v62223,2.2,15.0
1956,Prince Edward Island,"At December 1 (x 1,000)",v62223,2.2,14.3
1957,Prince Edward Island,"At December 1 (x 1,000)",v62223,2.2,12.7
1958,Prince Edward Island,"At December 1 (x 1,000)",v62223,2.2,10.9
1959,Prince Edward Island,"At December 1 (x 1,000)",v62223,2.2,9.8
1960,Prince Edward Island,"At December 1 (x 1,000)",v62223,2.2,8.2
1961,Prince Edward Island,"At December 1 (x 1,000)",v62223,2.2,7.6
1962,Prince Edward Island,"At December 1 (x 1,000)",v62223,2.2,6.7
1963,Prince Edward Island,"At December 1 (x 1,000)",v62223,2.2,6.2
1964,Prince Edward Island,"At December 1 (x 1,000)",v62223,2.2,5.6
1965,Prince Edward Island,"At December 1 (x 1,000)",v62223,2.2,5.4
1966,Prince Edward Island,"At December 1 (x 1,000)",v62223,2.2,4.7
1967,Prince Edward Island,"At December 1 (x 1,000)",v62223,2.2,4.2
1968,Prince Edward Island,"At December 1 (x 1,000)",v62223,2.2,3.9
1969,Prince Edward Island,"At December 1 (x 1,000)",v62223,2.2,3.3
1970,Prince Edward Island,"At December 1 (x 1,000)",v62223,2.2,2.9
1971,Prince Edward Island,"At December 1 (x 1,000)",v62223,2.2,2.7
1972,Prince Edward Island,"At December 1 (x 1,000)",v62223,2.2,2.5
1906,Nova Scotia,"At June 1 (x 1,000)",v62214,3.1,58.3
1907,Nova Scotia,"At June 1 (x 1,000)",v62214,3.1,58.9
1908,Nova Scotia,"At June 1 (x 1,000)",v62214,3.1,62.3
1909,Nova Scotia,"At June 1 (x 1,000)",v62214,3.1,61.9
1910,Nova Scotia,"At June 1 (x 1,000)",v62214,3.1,61.8
1911,Nova Scotia,"At June 1 (x 1,000)",v62214,3.1,61.4
1912,Nova Scotia,"At June 1 (x 1,000)",v62214,3.1,61.1
1913,Nova Scotia,"At June 1 (x 1,000)",v62214,3.1,61.2
1914,Nova Scotia,"At June 1 (x 1,000)",v62214,3.1,60.5
1915,Nova Scotia,"At June 1 (x 1,000)",v62214,3.1,60.4
1916,Nova Scotia,"At June 1 (x 1,000)",v62214,3.1,60.6
1917,Nova Scotia,"At June 1 (x 1,000)",v62214,3.1,59.9
1918,Nova Scotia,"At June 1 (x 1,000)",v62214,3.1,64.5
1919,Nova Scotia,"At June 1 (x 1,000)",v62214,3.1,63.3
1920,Nova Scotia,"At June 1 (x 1,000)",v62214,3.1,60.9
1921,Nova Scotia,"At June 1 (x 1,000)",v62214,3.1,54.4
1922,Nova Scotia,"At June 1 (x 1,000)",v62214,3.1,52.1
1923,Nova Scotia,"At June 1 (x 1,000)",v62214,3.1,43.9
1924,Nova Scotia,"At June 1 (x 1,000)",v62214,3.1,45.7
1925,Nova Scotia,"At June 1 (x 1,000)",v62214,3.1,46.7
1926,Nova Scotia,"At June 1 (x 1,000)",v62214,3.1,48.4
1927,Nova Scotia,"At June 1 (x 1,000)",v62214,3.1,45.4
1928,Nova Scotia,"At June 1 (x 1,000)",v62214,3.1,44.1
1929,Nova Scotia,"At June 1 (x 1,000)",v62214,3.1,44.9
1930,Nova Scotia,"At June 1 (x 1,000)",v62214,3.1,44.2
1931,Nova Scotia,"At June 1 (x 1,000)",v62214,3.1,43.1
1932,Nova Scotia,"At June 1 (x 1,000)",v62214,3.1,41.9
1933,Nova Scotia,"At June 1 (x 1,000)",v62214,3.1,40.0
1934,Nova Scotia,"At June 1 (x 1,000)",v62214,3.1,39.4
1935,Nova Scotia,"At June 1 (x 1,000)",v62214,3.1,37.9
1936,Nova Scotia,"At June 1 (x 1,000)",v62214,3.1,36.5
1937,Nova Scotia,"At June 1 (x 1,000)",v62214,3.1,37.6
1938,Nova Scotia,"At June 1 (x 1,000)",v62214,3.1,36.8
1939,Nova Scotia,"At June 1 (x 1,000)",v62214,3.1,37.0
1940,Nova Scotia,"At June 1 (x 1,000)",v62214,3.1,36.4
1941,Nova Scotia,"At June 1 (x 1,000)",v62214,3.1,36.2
1942,Nova Scotia,"At June 1 (x 1,000)",v62214,3.1,35.6
1943,Nova Scotia,"At June 1 (x 1,000)",v62214,3.1,35.3
1944,Nova Scotia,"At June 1 (x 1,000)",v62214,3.1,35.2
1945,Nova Scotia,"At June 1 (x 1,000)",v62214,3.1,34.4
1946,Nova Scotia,"At June 1 (x 1,000)",v62214,3.1,33.4
1947,Nova Scotia,"At June 1 (x 1,000)",v62214,3.1,31.5
1948,Nova Scotia,"At June 1 (x 1,000)",v62214,3.1,30.6
1949,Nova Scotia,"At June 1 (x 1,000)",v62214,3.1,29.2
1950,Nova Scotia,"At June 1 (x 1,000)",v62214,3.1,28.0
1951,Nova Scotia,"At June 1 (x 1,000)",v62214,3.1,26.0
1952,Nova Scotia,"At June 1 (x 1,000)",v62214,3.1,24.1
1953,Nova Scotia,"At June 1 (x 1,000)",v62214,3.1,22.9
1954,Nova Scotia,"At June 1 (x 1,000)",v62214,3.1,21.0
1955,Nova Scotia,"At June 1 (x 1,000)",v62214,3.1,18.6
1956,Nova Scotia,"At June 1 (x 1,000)",v62214,3.1,17.9
1957,Nova Scotia,"At June 1 (x 1,000)",v62214,3.1,15.8
1958,Nova Scotia,"At June 1 (x 1,000)",v62214,3.1,13.7
1959,Nova Scotia,"At June 1 (x 1,000)",v62214,3.1,12.2
1960,Nova Scotia,"At June 1 (x 1,000)",v62214,3.1,10.1
1961,Nova Scotia,"At June 1 (x 1,000)",v62214,3.1,8.9
1962,Nova Scotia,"At June 1 (x 1,000)",v62214,3.1,8.0
1963,Nova Scotia,"At June 1 (x 1,000)",v62214,3.1,7.3
1964,Nova Scotia,"At June 1 (x 1,000)",v62214,3.1,6.6
1965,Nova Scotia,"At June 1 (x 1,000)",v62214,3.1,6.2
1966,Nova Scotia,"At June 1 (x 1,000)",v62214,3.1,5.7
1967,Nova Scotia,"At June 1 (x 1,000)",v62214,3.1,5.4
1968,Nova Scotia,"At June 1 (x 1,000)",v62214,3.1,4.9
1969,Nova Scotia,"At June 1 (x 1,000)",v62214,3.1,4.5
1970,Nova Scotia,"At June 1 (x 1,000)",v62214,3.1,4.0
1971,Nova Scotia,"At June 1 (x 1,000)",v62214,3.1,3.7
1972,Nova Scotia,"At June 1 (x 1,000)",v62214,3.1,3.6
1973,Nova Scotia,"At June 1 (x 1,000)",v62214,3.1,3.8
1941,Nova Scotia,"At December 1 (x 1,000)",v62224,3.2,36.2
1942,Nova Scotia,"At December 1 (x 1,000)",v62224,3.2,35.7
1943,Nova Scotia,"At December 1 (x 1,000)",v62224,3.2,35.9
1944,Nova Scotia,"At December 1 (x 1,000)",v62224,3.2,34.4
1945,Nova Scotia,"At December 1 (x 1,000)",v62224,3.2,34.0
1946,Nova Scotia,"At December 1 (x 1,000)",v62224,3.2,33.4
1947,Nova Scotia,"At December 1 (x 1,000)",v62224,3.2,30.8
1948,Nova Scotia,"At December 1 (x 1,000)",v62224,3.2,29.7
1949,Nova Scotia,"At December 1 (x 1,000)",v62224,3.2,28.5
1950,Nova Scotia,"At December 1 (x 1,000)",v62224,3.2,27.3
1951,Nova Scotia,"At December 1 (x 1,000)",v62224,3.2,25.1
1952,Nova Scotia,"At December 1 (x 1,000)",v62224,3.2,23.2
1953,Nova Scotia,"At December 1 (x 1,000)",v62224,3.2,21.6
1954,Nova Scotia,"At December 1 (x 1,000)",v62224,3.2,19.8
1955,Nova Scotia,"At December 1 (x 1,000)",v62224,3.2,18.5
1956,Nova Scotia,"At December 1 (x 1,000)",v62224,3.2,17.0
1957,Nova Scotia,"At December 1 (x 1,000)",v62224,3.2,14.9
1958,Nova Scotia,"At December 1 (x 1,000)",v62224,3.2,13.0
1959,Nova Scotia,"At December 1 (x 1,000)",v62224,3.2,11.2
1960,Nova Scotia,"At December 1 (x 1,000)",v62224,3.2,9.6
1961,Nova Scotia,"At December 1 (x 1,000)",v62224,3.2,8.6
1962,Nova Scotia,"At December 1 (x 1,000)",v62224,3.2,7.7
1963,Nova Scotia,"At December 1 (x 1,000)",v62224,3.2,7.0
1964,Nova Scotia,"At December 1 (x 1,000)",v62224,3.2,6.6
1965,Nova Scotia,"At December 1 (x 1,000)",v62224,3.2,6.2
1966,Nova Scotia,"At December 1 (x 1,000)",v62224,3.2,5.5
1967,Nova Scotia,"At December 1 (x 1,000)",v62224,3.2,5.0
1968,Nova Scotia,"At December 1 (x 1,000)",v62224,3.2,4.7
1969,Nova Scotia,"At December 1 (x 1,000)",v62224,3.2,4.2
1970,Nova Scotia,"At December 1 (x 1,000)",v62224,3.2,3.8
1971,Nova Scotia,"At December 1 (x 1,000)",v62224,3.2,3.4
1972,Nova Scotia,"At December 1 (x 1,000)",v62224,3.2,3.5
1906,New Brunswick,"At June 1 (x 1,000)",v62215,4.1,63.0
1907,New Brunswick,"At June 1 (x 1,000)",v62215,4.1,65.0
1908,New Brunswick,"At June 1 (x 1,000)",v62215,4.1,66.2
1909,New Brunswick,"At June 1 (x 1,000)",v62215,4.1,65.4
1910,New Brunswick,"At June 1 (x 1,000)",v62215,4.1,65.7
1911,New Brunswick,"At June 1 (x 1,000)",v62215,4.1,65.4
1912,New Brunswick,"At June 1 (x 1,000)",v62215,4.1,64.8
1913,New Brunswick,"At June 1 (x 1,000)",v62215,4.1,63.6
1914,New Brunswick,"At June 1 (x 1,000)",v62215,4.1,63.4
1915,New Brunswick,"At June 1 (x 1,000)",v62215,4.1,62.9
1916,New Brunswick,"At June 1 (x 1,000)",v62215,4.1,61.5
1917,New Brunswick,"At June 1 (x 1,000)",v62215,4.1,60.8
1918,New Brunswick,"At June 1 (x 1,000)",v62215,4.1,61.5
1919,New Brunswick,"At June 1 (x 1,000)",v62215,4.1,71.0
1920,New Brunswick,"At June 1 (x 1,000)",v62215,4.1,69.2
1921,New Brunswick,"At June 1 (x 1,000)",v62215,4.1,62.4
1922,New Brunswick,"At June 1 (x 1,000)",v62215,4.1,59.0
1923,New Brunswick,"At June 1 (x 1,000)",v62215,4.1,57.0
1924,New Brunswick,"At June 1 (x 1,000)",v62215,4.1,55.9
1925,New Brunswick,"At June 1 (x 1,000)",v62215,4.1,56.3
1926,New Brunswick,"At June 1 (x 1,000)",v62215,4.1,58.4
1927,New Brunswick,"At June 1 (x 1,000)",v62215,4.1,56.0
1928,New Brunswick,"At June 1 (x 1,000)",v62215,4.1,56.0
1929,New Brunswick,"At June 1 (x 1,000)",v62215,4.1,53.9
1930,New Brunswick,"At June 1 (x 1,000)",v62215,4.1,52.9
1931,New Brunswick,"At June 1 (x 1,000)",v62215,4.1,51.2
1932,New Brunswick,"At June 1 (x 1,000)",v62215,4.1,52.8
1933,New Brunswick,"At June 1 (x 1,000)",v62215,4.1,50.7
1934,New Brunswick,"At June 1 (x 1,000)",v62215,4.1,48.0
1935,New Brunswick,"At June 1 (x 1,000)",v62215,4.1,47.0
1936,New Brunswick,"At June 1 (x 1,000)",v62215,4.1,44.5
1937,New Brunswick,"At June 1 (x 1,000)",v62215,4.1,46.0
1938,New Brunswick,"At June 1 (x 1,000)",v62215,4.1,44.8
1939,New Brunswick,"At June 1 (x 1,000)",v62215,4.1,44.8
1940,New Brunswick,"At June 1 (x 1,000)",v62215,4.1,45.2
1941,New Brunswick,"At June 1 (x 1,000)",v62215,4.1,45.2
1942,New Brunswick,"At June 1 (x 1,000)",v62215,4.1,45.8
1943,New Brunswick,"At June 1 (x 1,000)",v62215,4.1,46.2
1944,New Brunswick,"At June 1 (x 1,000)",v62215,4.1,44.7
1945,New Brunswick,"At June 1 (x 1,000)",v62215,4.1,43.6
1946,New Brunswick,"At June 1 (x 1,000)",v62215,4.1,41.4
1947,New Brunswick,"At June 1 (x 1,000)",v62215,4.1,39.3
1948,New Brunswick,"At June 1 (x 1,000)",v62215,4.1,37.8
1949,New Brunswick,"At June 1 (x 1,000)",v62215,4.1,36.4
1950,New Brunswick,"At June 1 (x 1,000)",v62215,4.1,33.7
1951,New Brunswick,"At June 1 (x 1,000)",v62215,4.1,31.0
1952,New Brunswick,"At June 1 (x 1,000)",v62215,4.1,28.9
1953,New Brunswick,"At June 1 (x 1,000)",v62215,4.1,26.8
1954,New Brunswick,"At June 1 (x 1,000)",v62215,4.1,23.9
1955,New Brunswick,"At June 1 (x 1,000)",v62215,4.1,20.7
1956,New Brunswick,"At June 1 (x 1,000)",v62215,4.1,19.3
1957,New Brunswick,"At June 1 (x 1,000)",v62215,4.1,17.1
1958,New Brunswick,"At June 1 (x 1,000)",v62215,4.1,14.8
1959,New Brunswick,"At June 1 (x 1,000)",v62215,4.1,12.3
1960,New Brunswick,"At June 1 (x 1,000)",v62215,4.1,10.3
1961,New Brunswick,"At June 1 (x 1,000)",v62215,4.1,9.3
1962,New Brunswick,"At June 1 (x 1,000)",v62215,4.1,8.2
1963,New Brunswick,"At June 1 (x 1,000)",v62215,4.1,7.3
1964,New Brunswick,"At June 1 (x 1,000)",v62215,4.1,6.8
1965,New Brunswick,"At June 1 (x 1,000)",v62215,4.1,6.3
1966,New Brunswick,"At June 1 (x 1,000)",v62215,4.1,6.1
1967,New Brunswick,"At June 1 (x 1,000)",v62215,4.1,5.5
1968,New Brunswick,"At June 1 (x 1,000)",v62215,4.1,5.1
1969,New Brunswick,"At June 1 (x 1,000)",v62215,4.1,4.7
1970,New Brunswick,"At June 1 (x 1,000)",v62215,4.1,4.3
1971,New Brunswick,"At June 1 (x 1,000)",v62215,4.1,4.1
1972,New Brunswick,"At June 1 (x 1,000)",v62215,4.1,3.5
1973,New Brunswick,"At June 1 (x 1,000)",v62215,4.1,3.2
1941,New Brunswick,"At December 1 (x 1,000)",v62225,4.2,45.4
1942,New Brunswick,"At December 1 (x 1,000)",v62225,4.2,48.0
1943,New Brunswick,"At December 1 (x 1,000)",v62225,4.2,44.9
1944,New Brunswick,"At December 1 (x 1,000)",v62225,4.2,45.1
1945,New Brunswick,"At December 1 (x 1,000)",v62225,4.2,42.5
1946,New Brunswick,"At December 1 (x 1,000)",v62225,4.2,40.6
1947,New Brunswick,"At December 1 (x 1,000)",v62225,4.2,38.7
1948,New Brunswick,"At December 1 (x 1,000)",v62225,4.2,36.9
1949,New Brunswick,"At December 1 (x 1,000)",v62225,4.2,34.9
1950,New Brunswick,"At December 1 (x 1,000)",v62225,4.2,31.7
1951,New Brunswick,"At December 1 (x 1,000)",v62225,4.2,29.6
1952,New Brunswick,"At December 1 (x 1,000)",v62225,4.2,27.8
1953,New Brunswick,"At December 1 (x 1,000)",v62225,4.2,25.5
1954,New Brunswick,"At December 1 (x 1,000)",v62225,4.2,22.7
1955,New Brunswick,"At December 1 (x 1,000)",v62225,4.2,20.3
1956,New Brunswick,"At December 1 (x 1,000)",v62225,4.2,18.3
1957,New Brunswick,"At December 1 (x 1,000)",v62225,4.2,16.1
